日期,收盘,开盘,高,低,交易量,涨跌幅
2017年1月3日,953,953,953,953,-,-0.83%
2017年1月4日,969,969,969,969,-,1.68%
2017年1月5日,983,983,983,983,-,1.44%
2017年1月6日,963,963,963,963,-,-2.03%
2017年1月9日,949,949,949,949,-,-1.45%
2017年1月10日,926,926,926,926,-,-2.42%
2017年1月11日,894,894,894,894,-,-3.46%
2017年1月12日,892,892,892,892,-,-0.22%
2017年1月13日,910,910,910,910,-,2.02%
2017年1月16日,925,925,925,925,-,1.65%
2017年1月17日,922,922,922,922,-,-0.32%
2017年1月18日,952,952,952,952,-,3.25%
2017年1月19日,942,942,942,942,-,-1.05%
2017年1月20日,925,925,925,925,-,-1.80%
2017年1月23日,914,914,914,914,-,-1.19%
2017年1月24日,886,886,886,886,-,-3.06%
2017年1月25日,862,862,862,862,-,-2.71%
2017年1月26日,840,840,840,840,-,-2.55%
2017年1月27日,827,827,827,827,-,-1.55%
2017年1月30日,816,816,816,816,-,-1.33%
2017年1月31日,800,800,800,800,-,-1.96%
2017年2月1日,786,786,786,786,-,-1.75%
2017年2月2日,770,770,770,770,-,-2.04%
2017年2月3日,752,752,752,752,-,-2.34%
2017年2月6日,735,735,735,735,-,-2.26%
2017年2月7日,714,714,714,714,-,-2.86%
2017年2月8日,702,702,702,702,-,-1.68%
2017年2月9日,707,707,707,707,-,0.71%
2017年2月10日,702,702,702,702,-,-0.71%
2017年2月13日,688,688,688,688,-,-1.99%
2017年2月14日,685,685,685,685,-,-0.44%
2017年2月15日,688,688,688,688,-,0.44%
2017年2月16日,710,710,710,710,-,3.20%
2017年2月17日,741,741,741,741,-,4.37%
2017年2月20日,757,757,757,757,-,2.16%
2017年2月21日,778,778,778,778,-,2.77%
2017年2月22日,806,806,806,806,-,3.60%
2017年2月23日,856,856,856,856,-,6.20%
2017年2月24日,875,875,875,875,-,2.22%
2017年2月27日,878,878,878,878,-,0.34%
2017年2月28日,859,859,859,859,-,-2.16%
2017年3月1日,871,871,871,871,-,1.40%
2017年3月2日,904,904,904,904,-,3.79%
2017年3月3日,939,939,939,939,-,3.87%
2017年3月6日,979,979,979,979,-,4.26%
2017年3月7日,"1,033.00","1,033.00","1,033.00","1,033.00",-,5.52%
2017年3月8日,"1,045.00","1,045.00","1,045.00","1,045.00",-,1.16%
2017年3月9日,"1,064.00","1,064.00","1,064.00","1,064.00",-,1.82%
2017年3月10日,"1,086.00","1,086.00","1,086.00","1,086.00",-,2.07%
2017年3月13日,"1,099.00","1,099.00","1,099.00","1,099.00",-,1.20%
2017年3月14日,"1,112.00","1,112.00","1,112.00","1,112.00",-,1.18%
2017年3月15日,"1,147.00","1,147.00","1,147.00","1,147.00",-,3.15%
2017年3月16日,"1,172.00","1,172.00","1,172.00","1,172.00",-,2.18%
2017年3月17日,"1,196.00","1,196.00","1,196.00","1,196.00",-,2.05%
2017年3月20日,"1,205.00","1,205.00","1,205.00","1,205.00",-,0.75%
2017年3月21日,"1,200.00","1,200.00","1,200.00","1,200.00",-,-0.41%
2017年3月22日,"1,190.00","1,190.00","1,190.00","1,190.00",-,-0.83%
2017年3月23日,"1,196.00","1,196.00","1,196.00","1,196.00",-,0.50%
2017年3月24日,"1,240.00","1,240.00","1,240.00","1,240.00",-,3.68%
2017年3月27日,"1,282.00","1,282.00","1,282.00","1,282.00",-,3.39%
2017年3月28日,"1,333.00","1,333.00","1,333.00","1,333.00",-,3.98%
2017年3月29日,"1,338.00","1,338.00","1,338.00","1,338.00",-,0.38%
2017年3月30日,"1,324.00","1,324.00","1,324.00","1,324.00",-,-1.05%
2017年3月31日,"1,297.00","1,297.00","1,297.00","1,297.00",-,-2.04%
2017年4月3日,"1,282.00","1,282.00","1,282.00","1,282.00",-,-1.16%
2017年4月4日,"1,255.00","1,255.00","1,255.00","1,255.00",-,-2.11%
2017年4月5日,"1,223.00","1,223.00","1,223.00","1,223.00",-,-2.55%
2017年4月6日,"1,215.00","1,215.00","1,215.00","1,215.00",-,-0.65%
2017年4月7日,"1,223.00","1,223.00","1,223.00","1,223.00",-,0.66%
2017年4月10日,"1,231.00","1,231.00","1,231.00","1,231.00",-,0.65%
2017年4月11日,"1,262.00","1,262.00","1,262.00","1,262.00",-,2.52%
2017年4月12日,"1,282.00","1,282.00","1,282.00","1,282.00",-,1.58%
2017年4月13日,"1,296.00","1,296.00","1,296.00","1,296.00",-,1.09%
2017年4月18日,"1,294.00","1,294.00","1,294.00","1,294.00",-,-0.15%
2017年4月19日,"1,278.00","1,278.00","1,278.00","1,278.00",-,-1.24%
2017年4月20日,"1,243.00","1,243.00","1,243.00","1,243.00",-,-2.74%
2017年4月21日,"1,195.00","1,195.00","1,195.00","1,195.00",-,-3.86%
2017年4月24日,"1,170.00","1,170.00","1,170.00","1,170.00",-,-2.09%
2017年4月25日,"1,154.00","1,154.00","1,154.00","1,154.00",-,-1.37%
2017年4月26日,"1,147.00","1,147.00","1,147.00","1,147.00",-,-0.61%
2017年4月27日,"1,134.00","1,134.00","1,134.00","1,134.00",-,-1.13%
2017年4月28日,"1,109.00","1,109.00","1,109.00","1,109.00",-,-2.20%
2017年5月2日,"1,073.00","1,073.00","1,073.00","1,073.00",-,-3.25%
2017年5月3日,"1,034.00","1,034.00","1,034.00","1,034.00",-,-3.63%
2017年5月4日,"1,004.00","1,004.00","1,004.00","1,004.00",-,-2.90%
2017年5月5日,994,994,994,994,-,-1.00%
2017年5月8日,"1,001.00","1,001.00","1,001.00","1,001.00",-,0.70%
2017年5月9日,"1,007.00","1,007.00","1,007.00","1,007.00",-,0.60%
2017年5月10日,"1,005.00","1,005.00","1,005.00","1,005.00",-,-0.20%
2017年5月11日,"1,012.00","1,012.00","1,012.00","1,012.00",-,0.70%
2017年5月12日,"1,014.00","1,014.00","1,014.00","1,014.00",-,0.20%
2017年5月15日,994,994,994,994,-,-1.97%
2017年5月16日,980,980,980,980,-,-1.41%
2017年5月17日,960,960,960,960,-,-2.04%
2017年5月18日,957,957,957,957,-,-0.31%
2017年5月19日,956,956,956,956,-,-0.10%
2017年5月22日,954,954,954,954,-,-0.21%
2017年5月23日,949,949,949,949,-,-0.52%
2017年5月24日,934,934,934,934,-,-1.58%
2017年5月25日,918,918,918,918,-,-1.71%
2017年5月26日,912,912,912,912,-,-0.65%
2017年5月30日,900,900,900,900,-,-1.32%
2017年5月31日,878,878,878,878,-,-2.44%
2017年6月1日,850,850,850,850,-,-3.19%
2017年6月2日,830,830,830,830,-,-2.35%
2017年6月5日,821,821,821,821,-,-1.08%
2017年6月6日,818,818,818,818,-,-0.37%
2017年6月7日,821,821,821,821,-,0.37%
2017年6月8日,824,824,824,824,-,0.37%
2017年6月9日,849,849,849,849,-,3.03%
2017年6月12日,870,870,870,870,-,2.47%
2017年6月13日,870,870,870,870,-,0.00%
2017年6月14日,865,865,865,865,-,-0.57%
2017年6月15日,855,855,855,855,-,-1.16%
2017年6月16日,851,851,851,851,-,-0.47%
2017年6月19日,848,848,848,848,-,-0.35%
2017年6月20日,847,847,847,847,-,-0.12%
2017年6月21日,844,844,844,844,-,-0.35%
2017年6月22日,855,855,855,855,-,1.30%
2017年6月23日,870,870,870,870,-,1.75%
2017年6月26日,884,884,884,884,-,1.61%
2017年6月27日,903,903,903,903,-,2.15%
2017年6月28日,929,929,929,929,-,2.88%
2017年6月29日,920,920,920,920,-,-0.97%
2017年6月30日,901,901,901,901,-,-2.07%
2017年7月3日,882,882,882,882,-,-2.11%
2017年7月4日,871,871,871,871,-,-1.25%
2017年7月5日,847,847,847,847,-,-2.76%
2017年7月6日,829,829,829,829,-,-2.13%
2017年7月7日,822,822,822,822,-,-0.84%
2017年7月10日,820,820,820,820,-,-0.24%
2017年7月11日,830,830,830,830,-,1.22%
2017年7月12日,859,859,859,859,-,3.49%
2017年7月13日,888,888,888,888,-,3.38%
2017年7月14日,900,900,900,900,-,1.35%
2017年7月17日,912,912,912,912,-,1.33%
